element 0 >> [0, 1, 2] (0.829400, 1.107949), (0.797284, 1.089301), (0.830306, 1.044141)
element 1 >> [3, 4, 1] (0.797284, 1.089301), (0.798190, 1.025493), (0.830306, 1.044141)
element 2 >> [5, 6, 3] (0.797284, 1.089301), (0.765168, 1.070653), (0.798190, 1.025493)
element 3 >> [4, 7, 8] (0.830306, 1.044141), (0.798190, 1.025493), (0.831212, 0.980334)
element 4 >> [9, 10, 11] (1.045957, 0.906327), (1.012942, 0.943082), (0.983355, 0.895779)
element 5 >> [12, 13, 10] (1.012942, 0.943082), (0.949694, 0.931934), (0.983355, 0.895779)
element 6 >> [14, 15, 12] (1.012942, 0.943082), (0.978636, 0.978636), (0.949694, 0.931934)
element 7 >> [13, 16, 17] (0.983355, 0.895779), (0.949694, 0.931934), (0.920753, 0.885232)
element 8 >> [11, 18, 19] (1.045957, 0.906327), (0.983355, 0.895779), (1.028689, 0.863570)
element 9 >> [20, 21, 18] (0.983355, 0.895779), (0.966086, 0.853022), (1.028689, 0.863570)
element 10 >> [17, 22, 20] (0.983355, 0.895779), (0.920753, 0.885232), (0.966086, 0.853022)
element 11 >> [21, 23, 24] (1.028689, 0.863570), (0.966086, 0.853022), (1.011420, 0.820813)
element 12 >> [25, 26, 27] (0.906327, 1.045957), (0.868417, 1.077640), (0.868770, 1.013146)
element 13 >> [28, 29, 26] (0.868417, 1.077640), (0.830306, 1.044141), (0.868770, 1.013146)
element 14 >> [30, 2, 28] (0.868417, 1.077640), (0.829400, 1.107949), (0.830306, 1.044141)
element 15 >> [29, 8, 31] (0.868770, 1.013146), (0.830306, 1.044141), (0.831212, 0.980334)
element 16 >> [32, 33, 34] (0.995185, 0.098017), (1.044053, 0.126862), (0.989177, 0.146730)
element 17 >> [35, 36, 33] (1.044053, 0.126862), (1.036853, 0.175399), (0.989177, 0.146730)
element 18 >> [37, 38, 35] (1.044053, 0.126862), (1.092921, 0.155707), (1.036853, 0.175399)
element 19 >> [36, 39, 40] (0.989177, 0.146730), (1.036853, 0.175399), (0.980785, 0.195090)
element 20 >> [41, 42, 43] (0.195090, 0.980785), (0.175398, 1.036853), (0.146730, 0.989177)
element 21 >> [44, 45, 42] (0.175398, 1.036853), (0.126862, 1.044053), (0.146730, 0.989177)
element 22 >> [46, 47, 44] (0.175398, 1.036853), (0.155707, 1.092921), (0.126862, 1.044053)
element 23 >> [45, 48, 49] (0.146730, 0.989177), (0.126862, 1.044053), (0.098017, 0.995185)
element 24 >> [50, 51, 52] (1.107573, 0.458886), (1.049733, 0.434905), (1.086315, 0.405740)
element 25 >> [53, 54, 51] (1.049733, 0.434905), (1.028475, 0.381759), (1.086315, 0.405740)
element 26 >> [55, 56, 53] (1.049733, 0.434905), (0.991893, 0.410924), (1.028475, 0.381759)
element 27 >> [54, 57, 58] (1.086315, 0.405740), (1.028475, 0.381759), (1.065056, 0.352593)
element 28 >> [59, 60, 50] (1.107573, 0.458886), (1.054063, 0.481200), (1.049733, 0.434905)
element 29 >> [61, 62, 60] (1.054063, 0.481200), (0.996223, 0.457219), (1.049733, 0.434905)
element 30 >> [63, 64, 61] (1.054063, 0.481200), (1.000553, 0.503514), (0.996223, 0.457219)
element 31 >> [62, 65, 55] (1.049733, 0.434905), (0.996223, 0.457219), (0.991893, 0.410924)
element 32 >> [66, 67, 68] (0.458842, 1.107125), (0.405672, 1.086050), (0.434841, 1.049533)
element 33 >> [69, 70, 67] (0.405672, 1.086050), (0.381671, 1.028458), (0.434841, 1.049533)
element 34 >> [71, 72, 69] (0.405672, 1.086050), (0.352501, 1.064976), (0.381671, 1.028458)
element 35 >> [70, 73, 74] (0.434841, 1.049533), (0.381671, 1.028458), (0.410840, 0.991940)
element 36 >> [68, 75, 76] (0.458842, 1.107125), (0.434841, 1.049533), (0.480868, 1.054314)
